City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Visby,SE,57.64,18.3,61.0,87,85,21.92,overcast clouds
1,Leshukonskoye,RU,64.9,45.76,37.2,79,0,4.43,clear sky
2,Lata,PT,40.16,-8.33,61.0,91,73,5.99,broken clouds
3,Ambon,ID,-3.7,128.18,87.8,66,40,4.7,scattered clouds
4,Hasaki,JP,35.73,140.83,81.0,73,75,8.05,broken clouds
5,Kupang,ID,-10.17,123.58,95.0,47,20,16.11,few clouds
6,Hongjiang,CN,27.11,110.0,63.61,88,100,5.39,light rain
7,Bluff,NZ,-46.6,168.33,50.0,97,100,1.99,light rain
8,Nanortalik,GL,60.14,-45.24,35.92,83,100,4.83,overcast clouds
9,Yellowknife,CA,62.46,-114.35,46.4,93,20,9.17,few clouds
10,Atuona,PF,-9.8,-139.03,78.35,75,0,22.48,clear sky
11,Kodiak,US,57.79,-152.41,41.0,80,1,3.36,clear sky
12,New Norfolk,AU,-42.78,147.06,50.0,95,100,5.01,overcast clouds
13,Khatanga,RU,71.97,102.5,25.29,97,99,14.0,overcast clouds
14,Bredasdorp,ZA,-34.53,20.04,57.2,87,44,3.36,scattered clouds
15,Narsaq,GL,60.92,-46.05,30.2,68,99,2.24,overcast clouds
16,Pisco,PE,-13.7,-76.22,61.0,82,14,1.12,smoke
17,Novocheremshansk,RU,54.36,50.17,51.48,62,71,9.04,broken clouds
18,Jabinyanah,TN,35.03,10.91,69.8,64,40,4.7,scattered clouds
19,Nha Trang,VN,12.25,109.18,91.4,66,40,8.05,scattered clouds
20,Grasse,FR,43.67,6.92,57.2,67,13,10.29,few clouds
21,Jining,CN,35.41,116.58,62.65,29,100,14.03,overcast clouds
22,Oksfjord,NO,70.24,22.35,50.0,71,1,18.34,clear sky
23,Castro,BR,-24.79,-50.01,59.29,83,87,14.32,overcast clouds
24,Lopsmarka,NO,67.31,14.45,51.8,71,40,20.8,scattered clouds
25,Khandbari,NP,27.37,87.2,78.37,60,98,0.94,overcast clouds
26,Rikitea,PF,-23.12,-134.97,73.62,78,1,17.78,clear sky
27,Jamestown,US,42.1,-79.24,43.0,81,75,3.85,broken clouds
28,Priargunsk,RU,50.37,119.1,45.23,63,100,15.52,overcast clouds
29,Ngaoundere,CM,7.32,13.58,60.8,100,40,1.54,scattered clouds
30,Joshimath,IN,30.57,79.57,72.95,21,0,7.61,clear sky
31,Kutum,SD,14.2,24.67,80.6,40,30,5.93,scattered clouds
32,Lisakovsk,KZ,52.54,62.49,45.16,63,98,15.05,overcast clouds
33,Homestead,US,25.47,-80.48,82.4,83,1,8.05,clear sky
34,Kaitangata,NZ,-46.28,169.85,52.0,82,100,3.0,overcast clouds
35,Port Blair,IN,11.67,92.75,83.43,76,100,11.72,light rain
36,Avarua,CK,-21.21,-159.78,75.2,78,59,5.82,broken clouds
37,Qaanaaq,GL,77.48,-69.36,18.21,91,94,2.39,overcast clouds
38,Butaritari,KI,3.07,172.79,80.83,70,100,3.78,light rain
39,Georgetown,MY,5.41,100.34,87.8,74,40,5.82,scattered clouds
40,Nikolskoye,RU,59.7,30.79,54.0,76,81,11.18,broken clouds
41,Cabo San Lucas,MX,22.89,-109.91,81.0,70,0,1.01,clear sky
42,Ushuaia,AR,-54.8,-68.3,42.8,70,75,20.8,broken clouds
43,Shimoda,JP,34.67,138.95,75.2,78,75,5.82,broken clouds
44,Cockburn Town,TC,21.46,-71.14,83.26,75,96,20.27,overcast clouds
45,Punta Arenas,CL,-53.15,-70.92,44.6,65,75,13.87,broken clouds
46,Saint-Augustin,CA,51.23,-58.65,42.22,72,37,5.48,scattered clouds
47,Porto Novo,BJ,6.5,2.6,78.8,83,40,9.17,scattered clouds
48,Saint-Philippe,RE,-21.36,55.77,78.8,57,40,3.36,scattered clouds
49,San Patricio,MX,19.22,-104.7,76.51,81,0,3.8,clear sky
50,Huarmey,PE,-10.07,-78.15,61.9,87,70,8.03,broken clouds
51,Iqaluit,CA,63.75,-68.51,32.0,95,90,10.29,light snow
52,Busselton,AU,-33.65,115.33,68.0,36,12,13.15,few clouds
53,Albany,US,42.6,-73.97,41.0,100,1,2.39,clear sky
54,Erzin,TR,36.96,36.2,73.99,73,9,1.01,clear sky
55,Hilo,US,19.73,-155.09,78.8,74,40,4.52,scattered clouds
56,South River,US,40.45,-74.39,50.0,76,1,4.65,clear sky
57,Carnarvon,AU,-24.87,113.63,71.6,43,0,25.28,clear sky
58,Upernavik,GL,72.79,-56.15,26.92,92,48,5.46,scattered clouds
59,Danshui,CN,22.8,114.47,90.0,99,27,3.0,scattered clouds
60,Vrangel,RU,42.73,133.08,61.38,75,0,15.32,light rain
61,Tuktoyaktuk,CA,69.45,-133.04,42.8,93,90,9.17,overcast clouds
62,Shahr-E Babak,IR,30.12,55.12,75.78,19,0,3.74,clear sky
63,Singaparna,ID,-7.35,108.11,79.11,71,90,6.91,light rain
64,Bulgan,MN,48.81,103.53,39.36,58,0,4.94,clear sky
65,Klaksvik,FO,62.23,-6.59,55.4,82,100,5.82,overcast clouds
66,Quatre Cocos,MU,-20.21,57.76,77.0,73,75,10.29,shower rain
67,Kapaa,US,22.08,-159.32,82.4,78,40,11.41,scattered clouds
68,Ponta Do Sol,PT,32.67,-17.1,69.8,77,40,11.41,scattered clouds
69,Faya,SA,18.39,42.45,69.8,16,0,5.82,clear sky
70,Rawson,AR,-43.3,-65.1,48.7,50,7,15.43,clear sky
71,Komsomolskiy,UZ,40.43,71.72,66.2,29,78,4.7,broken clouds
72,Sioux Lookout,CA,50.1,-91.92,30.2,92,40,2.24,scattered clouds
73,Puerto El Triunfo,SV,13.28,-88.55,77.0,94,40,1.12,scattered clouds
74,Abu Dhabi,AE,24.47,54.37,89.6,62,0,5.82,clear sky
75,Eganville,CA,45.53,-77.1,45.0,93,90,2.24,overcast clouds
76,Katsuura,JP,35.13,140.3,78.01,73,75,5.82,broken clouds
77,Avera,US,33.19,-82.53,55.4,93,1,4.7,clear sky
78,Puerto Ayora,EC,-0.74,-90.35,64.0,91,9,3.0,clear sky
79,East London,ZA,-33.02,27.91,62.6,93,75,4.7,broken clouds
80,Poum,NC,-20.23,164.02,73.53,70,0,15.5,light rain
81,Galesong,ID,-5.32,119.37,93.2,41,20,10.29,few clouds
82,Mokrousovo,RU,55.81,66.77,38.1,72,13,13.27,few clouds
83,Severo-Kurilsk,RU,50.68,156.12,48.34,84,100,9.98,light rain
84,Darien,US,41.75,-87.97,48.0,100,90,5.82,light rain
85,Souillac,MU,-20.52,57.52,77.0,73,75,10.29,shower rain
86,Port Alfred,ZA,-33.59,26.89,65.07,78,29,14.88,light rain
87,Half Moon Bay,US,37.46,-122.43,66.0,68,1,3.36,clear sky
88,George Town,MY,5.41,100.34,86.0,74,40,5.82,scattered clouds
89,Aklavik,CA,68.22,-135.01,44.6,81,90,4.7,overcast clouds
90,Longyearbyen,SJ,78.22,15.64,35.6,93,75,4.7,broken clouds
91,Mataura,NZ,-46.19,168.86,50.0,97,100,1.99,moderate rain
92,Neiafu,TO,-18.65,-173.98,77.0,88,75,12.75,broken clouds
93,Atambua,ID,-9.11,124.89,85.71,49,54,1.72,broken clouds
94,Sao Mateus Do Maranhao,BR,-4.04,-44.48,74.86,87,60,5.06,broken clouds
95,Kalaleh,IR,37.38,55.49,69.8,49,0,4.61,clear sky
96,Fare,PF,-16.7,-151.02,79.09,74,9,17.2,clear sky
97,San Policarpo,PH,12.18,125.51,84.25,81,91,8.52,light rain
98,Chisinau,MD,47.01,28.86,66.2,88,20,12.75,few clouds
99,Sitka,US,57.05,-135.33,51.8,87,90,6.93,moderate rain
100,Tagusao,PH,9.19,117.81,84.45,73,92,12.24,light rain
101,Bambous Virieux,MU,-20.34,57.76,77.0,73,75,10.29,shower rain
102,Nhulunbuy,AU,-12.23,136.77,84.2,62,90,16.11,overcast clouds
103,Walvis Bay,NA,-22.96,14.51,53.01,81,73,1.12,broken clouds
104,Torbay,CA,47.67,-52.73,55.0,93,90,9.17,overcast clouds
105,Saskylakh,RU,71.92,114.08,25.39,95,100,16.53,overcast clouds
106,Sao Joao Da Barra,BR,-21.64,-41.05,74.82,85,98,12.84,overcast clouds
107,Sorland,NO,67.67,12.69,51.85,77,3,16.89,clear sky
108,Arraial Do Cabo,BR,-22.97,-42.03,72.28,92,95,20.54,light rain
109,Boa Vista,BR,2.82,-60.67,80.6,69,67,3.36,light rain
110,Lorengau,PG,-2.02,147.27,85.35,70,86,9.89,overcast clouds
111,Lere,NG,10.39,8.57,67.93,85,29,3.11,scattered clouds
112,Ribeira Grande,PT,38.52,-28.7,69.48,82,76,11.9,broken clouds
113,Lompoc,US,34.64,-120.46,64.4,82,1,4.7,clear sky
114,Usinsk,RU,65.99,57.53,35.55,82,92,9.95,overcast clouds
115,Kenai,US,60.55,-151.26,46.4,70,1,6.93,light rain
116,Alofi,NU,-19.06,-169.92,77.0,88,100,11.41,overcast clouds
117,Chernyshevskiy,RU,63.01,112.47,34.56,89,99,8.57,overcast clouds
118,Urucui,BR,-7.23,-44.56,74.93,46,3,4.09,clear sky
119,Port Hardy,CA,50.7,-127.42,53.6,100,90,7.87,light rain
120,Isabela,PH,6.71,121.97,87.8,79,75,12.75,broken clouds
121,Chuy,UY,-33.7,-53.46,51.57,76,85,10.89,overcast clouds
122,Aljezur,PT,37.32,-8.8,54.0,95,16,1.99,few clouds
123,Whitianga,NZ,-36.83,175.7,62.01,78,0,8.99,clear sky
124,Daru,PG,-9.08,143.21,80.13,83,87,18.52,light rain
125,Semey,KZ,50.41,80.23,57.2,36,44,6.71,scattered clouds
126,Byron Bay,AU,-28.65,153.62,75.99,56,25,17.22,scattered clouds
127,Barrow,US,71.29,-156.79,33.8,86,90,13.87,mist
128,Marrakesh,MA,31.63,-8.01,59.0,67,0,5.82,clear sky
129,Umm Kaddadah,SD,13.6,26.69,85.08,51,43,13.56,scattered clouds
130,Bairiki,KI,1.33,172.98,84.2,70,75,4.7,broken clouds
131,Wilmington,US,34.23,-77.94,63.0,67,90,10.29,overcast clouds
132,Sambava,MG,-14.27,50.17,77.94,67,88,7.27,overcast clouds
133,Hobart,AU,-42.88,147.33,50.0,93,90,12.75,light intensity drizzle
134,Birao,CF,10.28,22.79,74.62,85,100,1.39,overcast clouds
135,Ariquemes,BR,-9.91,-63.04,73.62,86,57,0.81,broken clouds
136,Bengkulu,ID,-3.8,102.27,86.27,68,100,14.29,overcast clouds
137,Nemuro,JP,43.32,145.57,64.4,88,75,4.7,broken clouds
138,Cidreira,BR,-30.18,-50.21,57.85,88,100,21.32,overcast clouds
139,Mahebourg,MU,-20.41,57.7,77.0,73,75,10.29,shower rain
140,Vila Velha,BR,-20.33,-40.29,73.4,94,40,3.36,scattered clouds
