City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2020-10-03 21:22:19,-37.62,-73.65,49.64,60,2,7.83
1,Carnarvon,AU,2020-10-03 21:19:23,-24.87,113.63,55.4,54,0,19.46
2,Hamilton,US,2020-10-03 21:21:33,39.18,-84.53,64.99,42,75,9.17
3,Qaanaaq,GL,2020-10-03 21:22:19,77.48,-69.36,24.6,88,100,0.6
4,Mataura,NZ,2020-10-03 21:22:19,-46.19,168.86,48.99,96,100,11.99
5,Mar Del Plata,AR,2020-10-03 21:20:42,-38.0,-57.56,46.0,56,75,10.29
6,Barrow,US,2020-10-03 21:22:19,71.29,-156.79,33.8,86,90,12.75
7,East London,ZA,2020-10-03 21:22:20,-33.02,27.91,62.08,84,97,10.78
8,Salalah,OM,2020-10-03 21:22:20,17.02,54.09,77.0,65,0,2.24
9,Kapaa,US,2020-10-03 21:22:20,22.08,-159.32,86.0,70,40,6.93
10,Bredasdorp,ZA,2020-10-03 21:22:20,-34.53,20.04,60.8,87,70,11.41
11,Show Low,US,2020-10-03 21:21:08,34.25,-110.03,82.4,3,1,5.82
12,Kieta,PG,2020-10-03 21:22:20,-6.22,155.63,80.1,71,1,6.51
13,Antofagasta,CL,2020-10-03 21:20:06,-23.65,-70.4,57.2,76,90,12.75
14,Atuona,PF,2020-10-03 21:22:20,-9.8,-139.03,78.21,74,31,24.7
15,Bluff,NZ,2020-10-03 21:22:20,-46.6,168.33,48.99,96,100,11.99
16,Ambilobe,MG,2020-10-03 21:18:28,-13.2,49.05,70.47,83,13,4.52
17,Tres Arroyos,AR,2020-10-03 21:22:21,-38.37,-60.28,47.35,55,11,14.07
18,Fort Nelson,CA,2020-10-03 21:18:33,58.81,-122.7,50.0,81,75,3.36
19,Nizhniy Tsasuchey,RU,2020-10-03 21:22:21,50.52,115.13,36.72,87,100,18.07
20,Hobart,AU,2020-10-03 21:22:13,-42.88,147.33,50.0,93,90,4.7
21,Georgetown,MY,2020-10-03 21:22:21,5.41,100.34,78.01,94,20,2.24
22,Nishihara,JP,2020-10-03 21:22:21,26.18,127.76,78.8,88,75,5.82
23,Chiquinquira,CO,2020-10-03 21:22:21,5.62,-73.82,59.32,93,75,0.49
24,Kodiak,US,2020-10-03 21:22:21,57.79,-152.41,51.8,66,1,10.29
25,Punta Arenas,CL,2020-10-03 21:19:30,-53.15,-70.92,48.2,57,75,28.86
26,Ushuaia,AR,2020-10-03 21:17:56,-54.8,-68.3,46.4,61,40,20.8
27,Bethel,US,2020-10-03 21:22:22,41.37,-73.41,62.6,42,20,5.82
28,Saint-Philippe,RE,2020-10-03 21:22:22,-21.36,55.77,73.4,78,90,13.87
29,Sao Filipe,CV,2020-10-03 21:22:22,14.9,-24.5,79.72,76,2,14.61
30,Luanda,AO,2020-10-03 21:22:22,-8.84,13.23,73.4,83,75,11.41
31,Arraial Do Cabo,BR,2020-10-03 21:22:22,-22.97,-42.03,75.2,94,75,11.41
32,Avarua,CK,2020-10-03 21:22:23,-21.21,-159.78,78.8,65,53,10.29
33,Rikitea,PF,2020-10-03 21:22:23,-23.12,-134.97,72.99,78,0,16.82
34,Hermanus,ZA,2020-10-03 21:22:23,-34.42,19.23,61.0,85,19,8.99
