City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Visby,SE,61.0,overcast clouds,57.64,18.3,Best Western Solhem Hotel Visby
2,Lata,PT,61.0,broken clouds,40.16,-8.33,Casa Maquia
6,Hongjiang,CN,63.61,light rain,27.11,110.0,洪江大酒店
16,Pisco,PE,61.0,smoke,-13.7,-76.22,Hostal San Isidro Oficial
18,Jabinyanah,TN,69.8,scattered clouds,35.03,10.91,maison belmabrouk
21,Jining,CN,62.65,overcast clouds,35.41,116.58,Yunhe Star Hotel
26,Rikitea,PF,73.62,clear sky,-23.12,-134.97,Pension Maro'i
29,Ngaoundere,CM,60.8,scattered clouds,7.32,13.58,Hotel Mentong Palace
30,Joshimath,IN,72.95,clear sky,30.57,79.57,Shivalik Camps & Resort
50,Huarmey,PE,61.9,broken clouds,-10.07,-78.15,Hotel Miramar
52,Busselton,AU,68.0,few clouds,-33.65,115.33,Observatory Guest House
54,Erzin,TR,73.99,clear sky,36.96,36.2,Artemis Otel
57,Carnarvon,AU,71.6,clear sky,-24.87,113.63,Hospitality Carnarvon
60,Vrangel,RU,61.38,light rain,42.73,133.08,"Отель ""БАЛИ"""
68,Ponta Do Sol,PT,69.8,scattered clouds,32.67,-17.1,Hotel do Campo
69,Faya,SA,69.8,clear sky,18.39,42.45,مقبرة ال مجمل
71,Komsomolskiy,UZ,66.2,broken clouds,40.43,71.72,Ikathouse
78,Puerto Ayora,EC,64.0,clear sky,-0.74,-90.35,Finch Bay Galapagos Hotel
79,East London,ZA,62.6,broken clouds,-33.02,27.91,Tu Casa
80,Poum,NC,73.53,light rain,-20.23,164.02,Gîte kajeon
86,Port Alfred,ZA,65.07,light rain,-33.59,26.89,The Halyards Hotel
87,Half Moon Bay,US,66.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
94,Sao Mateus Do Maranhao,BR,74.86,broken clouds,-4.04,-44.48,Pousada Pingo De Ouro
95,Kalaleh,IR,69.8,clear sky,37.38,55.49,عطر و ادکلن پارسیس
98,Chisinau,MD,66.2,few clouds,47.01,28.86,Cosmos Hotel
106,Sao Joao Da Barra,BR,74.82,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
108,Arraial Do Cabo,BR,72.28,light rain,-22.97,-42.03,Pousada Porto Praia
111,Lere,NG,67.93,scattered clouds,10.39,8.57,
112,Ribeira Grande,PT,69.48,broken clouds,38.52,-28.7,Quinta da Meia Eira
113,Lompoc,US,64.4,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
118,Urucui,BR,74.93,clear sky,-7.23,-44.56,Formula Flat Uruçui
123,Whitianga,NZ,62.01,clear sky,-36.83,175.7,Beachside Resort Whitianga
131,Wilmington,US,63.0,overcast clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
134,Birao,CF,74.62,overcast clouds,10.28,22.79,
135,Ariquemes,BR,73.62,broken clouds,-9.91,-63.04,Hotel Sol Nascente - Ariquemes - RO
137,Nemuro,JP,64.4,broken clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
140,Vila Velha,BR,73.4,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
143,Ashqelon,IL,73.99,scattered clouds,31.67,34.57,Leonardo Ashkelon
144,Hermanus,ZA,61.0,few clouds,-34.42,19.23,Misty Waves Boutique Hotel
145,Port Elizabeth,ZA,60.8,broken clouds,-33.92,25.57,39 On Nile Guest House
153,Cape Town,ZA,61.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
155,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
161,Camopi,GF,72.39,few clouds,3.17,-52.32,
170,Hualmay,PE,61.36,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
175,Shubarkuduk,KZ,60.87,clear sky,49.14,56.49,
184,Paranhos,BR,67.86,clear sky,-23.89,-55.43,Hotel América
186,Namibe,AO,69.62,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
191,Ozorkow,PL,64.0,overcast clouds,51.96,19.29,Noclegi Ozorków
195,Kisangani,CD,70.77,light rain,0.52,25.2,Grand Ramela Hotel
198,Talara,PE,64.71,overcast clouds,-4.58,-81.27,Hostal Oro Negro
200,Beloha,MG,72.01,broken clouds,-25.17,45.05,
207,Aksu,CN,66.97,broken clouds,41.12,80.26,Pudong Holiday Hotel
208,Vendas Novas,PT,61.0,broken clouds,38.68,-8.46,Hotel Acez
216,Duobao,CN,60.01,light rain,30.67,112.69,Yongsheng Hotel
219,Kabanjahe,ID,75.0,overcast clouds,3.1,98.49,Pelindung Bawah Losmen
220,Caravelas,BR,72.73,clear sky,-17.71,-39.25,Pousada dos Navegantes
221,Isangel,VU,72.7,clear sky,-19.55,169.27,Volcano Sea View Tree House
228,Lodja,CD,73.22,broken clouds,-3.48,23.43,
236,Syracuse,IT,73.4,scattered clouds,37.09,15.28,Hotel Posta
245,Zhezkazgan,KZ,60.8,overcast clouds,47.8,67.71,Ul. Ranova 15-1 Kvartiry Posutochno.
251,Nioro,GM,74.71,scattered clouds,13.35,-15.75,
252,Lima,PE,60.8,overcast clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
257,Tsabong,BW,64.4,clear sky,-26.02,22.4,Springbok Motel
261,San Javier,ES,61.0,clear sky,37.81,-0.84,Hotel Mar Menor
265,Ipameri,BR,72.21,clear sky,-17.72,-48.16,Real Hotel
267,Rosetta,EG,71.6,clear sky,31.4,30.42,Green Valley
272,Fallon,US,63.0,clear sky,39.47,-118.78,Best Western Fallon Inn & Suites
273,Entebbe,UG,69.8,broken clouds,0.06,32.45,WB APARTMENT
279,Touros,BR,71.6,mist,-5.2,-35.46,INN NEW HORIZON
285,Pasco,US,72.0,overcast clouds,28.29,-82.42,Single Family Home
292,Kaka,TM,72.23,clear sky,37.35,59.61,
297,Vao,NC,70.07,few clouds,-22.67,167.48,Hotel Kou-Bugny
300,Nueva Germania,PY,65.52,clear sky,-23.9,-56.57,Estancia Ña Luisa
303,Dickinson,US,71.01,clear sky,29.46,-95.05,Candlewood Suites League City
310,Praia Da Vitoria,PT,69.01,broken clouds,38.73,-27.07,Hotel Branco I
312,Lagoa,PT,69.78,overcast clouds,39.05,-27.98,Casa Das Faias
314,Binzhou,CN,63.0,broken clouds,37.37,118.02,Hampton By Hilton Binzhou
316,Malibu,US,73.99,clear sky,34.01,-118.81,Malibu Country Inn
318,Indaial,BR,60.01,overcast clouds,-26.9,-49.23,OYO Hotel Indaial
320,Puerto Narino,CO,71.69,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
322,San Cristobal,VE,64.42,overcast clouds,7.77,-72.22,Pirineos
329,Dondo,MZ,73.4,mist,-19.61,34.74,Arco Iris
331,Airai,TL,74.14,overcast clouds,-8.93,125.41,Juvinal Martin
341,Khani,GE,60.8,scattered clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
343,Richards Bay,ZA,67.46,moderate rain,-28.78,32.04,BON Hotel Waterfront Richards Bay
